,occurence
Times [London] Lit Sup pSS Ja,2
year' ^lew'Statesman & Nation,2
i Christian Science Monitor pll Je,2
h America,2
Forum 94:vli N,2
fication. Tjmeg LLondon] Lit Sup,2
|- New Statesman,2
Boston Transcript pl O,2
; Books plO Je,2
", Atlantic Bookshelf",2
; Christian Science Monitor plO Je,2
luxury and rent it at,2
sented in panorama from,2
N Y Times p(i O,2
San Francisco Chronicle Jl,2
"""-as",2
Pr°+ N Y'Times pll Jl,2
|- Outlook,2
Current Hist 42:xil Ag,2
\- N Y Time*,2
Trlbune Wkly Bk R,2
"of Caldwell and Faulkner."" C. J. Rolo Atlantic",2
"enough with his material."" Herschel Brickell h No Am",2
-I NY World plS My,2
I Books jul Je,2
-J- Boston Transcript pi Ag,2
Spririgf'd Republican,2
-{ Sprcngf d Republican,2
warfare and won the war in,2
"what he is writing about."" Anita Brenner h N Y Times",2
;f N Y Times,2
"illusion of life."" Margaret Wallace h N Y Times",2
R of Rs SI,2
Book* pll S,2
"is rather dull."" F. R. Dulles (- Bookm",2
•; Books,2
__ r- Nation,2
-J America,2
NY Herald Tribun* Wkly Bk R,2
New Statesman 34:sup xviil D,2
"lOOw""* London] Llt Sup",2
Chicaao Daily Tribune,2
Current Hist 42:xii S,2
"'"""" Y Hera'd Tribune",2
"ties upon the senses."" Richard McLaughlln f- Sat R of Lit",2
Books plS Jl,2
-( Christian Century,2
Current Hist 43:xii N,2
"repeat an old success."" Basil Davenport h Sat R of Lit",2
-t- N Y Herald Tribune Wkly Bk R,2
"his remote and exotic background."" j- N Y Times",2
__ Books,2
"'^jJ1""1""8 [London] Lit Sup",2
-f- Books plO My,2
J- N Y Herald Tribune Wkly Bk R,2
Current Hist 42:vil Je,2
! • Boston Transcript,2
Outlook 15-1:350 F,2
Books PIS F,2
which will appeal to boys from,2
Books i'is Je,2
"futility than people."" Mary Ross h Books",2
"leads. N Y T,meg",2
Bookm 71:xxvii Ap,2
'+ 'Boston Transcript,2
Forum 93:vll Je,2
Books pi- S,2
|L Times [London] Lit Sup,2
NY Time«,2
•f Boston Transcript pi Ag,2
+'— Nation,2
Bookm 72:xxli S,2
"Springrd Republican p""e S",2
••)- Boston Transcript pi Jl,2
Christian Science Monitor pi I Jl,2
Yale R n s 25:vlil autumn,2
r- N YTImes,2
[. New Repub,2
-;• Books,2
•Spec,2
Books pi As,2
•A NY Evening Post,2
Bookm 71:xxxi Mr,2
Kirkire,2
Books plO Ag:,2
"description of local types."" Esther Forbes h Bookm",2
i Atlantic Bookshelf,2
. Christian Science Monitor pll Ag,2
Books i.l Jl,2
-j No Am,2
:• Nation,2
)- Time* [London] Lit Sup,2
-{NY Evening Post,2
Current Hist 43:xll O,2
N Y Evenlno Post pllm Mr,2
Times [London] Lft Sup,2
Books pi:) Mr,2
-;- N Y Herald Tribune Wkly Bk R,2
Times [London] Lit Sup plTC Jl,2
.— Sat R of Lit,2
Springf'd Republican pSB Ja,2
-{ Commonweal,2
"""g'jOw""188 [London] Lit S""P",2
"raises the pulse of the reader."" Harold Strauss N Y Tlm«8",2
-| NY Herald Tribune,2
-j- N Y Times pG Ag,2
"dulges her rather over-passionate imagination."" Boston Transcript",2
"-,- Boston Transcript pi O",2
Bo«ton Transcript,2
_u Christian Science Monitor pll Ap,2
•— Boston Transcript,2
-(-Boston Transcript,2
Books ])'-• Ja,2
Books ]>:.i Jl,2
N Y Evening post plflm Ap,2
Current Hist 42:xvl S,2
Books ill!' Ag,2
Wis Lib Dm,2
"did at the task of research."" N L, R h Sat R of Lit",2
"lation of a thousand details."" Vincent McHugh h N Y Evening Post",2
Sprlngf'd Republican plOB F,2
San Francisco Chronicle pit My,2
]- Times [London] Lit Sup,2
"the simple and bore the sophisticated."" Bookm",2
reWar+n|'ostOfi Transcript,2
'—' New Statesman,2
Current Hist 42:xiv S,2
"always interesting, but they never satisfy."" h Books",2
-t New Statesman «. Nation,2
f- Christian Science Monitor pll N,2
sprintjf'd Republican,2
Boston Trnnscript,2
-{ NY Herald Tribune,2
Times [London] Lit Sup pGS5 Ag,2
j . Nation and Ath,2
-i Chicago Dally Tribune,2
"the strength of Miss Temple's purpose."" N Y Times",2
_ N Y Times plO N,2
"work of |^R»i""6:995 Ap",2
"frequently that of double exposure."" M, [>. .~ h Boston Transcript",2
an * Nation,2
!- Outlook,2
Cleveland Open Shelf pic Jl,2
Bookm 71:xxix Mr,2
-J Sat R,2
-i- Bookm 71:xxv Mr,2
Sat R 'of Lit,2
Bookm 70:xxvii F,2
-j- Canadian Forum,2
Bookm 72:vlil N,2
r- Chicago Daily Tribune,2
San Francisco Chronicle pi.'! My,2
Boo km 72:xvl S,2
Books i>l I O,2
;• Christian Science Monitor pll S,2
Spec 144:sup489 Mr,2
beset the overland caravans of,2
•H NY Times,2
ltd ed,2
X<+ ^f'Times [London] Lit Sup,2
t San Francisco Chronicle,2
• Atlantic Bookshelf,2
•h N Y World,2
Book* pig Mr,2
-J Library J,2
"Spec""",2
Claude Fennimore and how a queer old woman,2
Current Hist 43:xiv D,2
"'+ New"" Repub",2
*j New Repub,2
•- Times [London] Lit Sup,2
"to recognize the black in the dark."" Time",2
-r Books,2
-I New Emj Q,2
'• Times [London] Lit Sup,2
"""Znt+ia?tR""of Lit",2
-J Christian Century,2
New Statesman 36:sup xiv N,2
Cleveland Open Siv h,2
"Books i.'is D ""i",2
"ful of loosely related individual stories."" M. W. N Y Times",2
"are lifeless and the morality too pointed."" N Y Times",2
Times L London,2
-) . Books,2
_ N Y Herald Tribune pll D,2
Times [London] Lit Sup pTOS O,2
ingery L|bpary j,2
"more than a synopsis, awkwardly presented."" Books pll D",2
Times [London] Lit aup,2
N Y Evening Post plO Ap,2
novel of Wall atreet.,2
-| NY Post,2
New Statesman 36:sup xxii D,2
~;«Tlmes f-ondon] Lit Sup,2
Book! pll Ag,2
Bookm 72:xxlil S,2
Dunks pi S,2
h Atlantic Bookshelf,2
Chicago Sun u,2
Springf'd Republican pTe O,2
Yale R n s 38:1S9 autumn,2
Bookm 72:xii N,2
'Times [London]' Lit Sup,2
Sprlrvfjf'd Republican,2
"""70?hristian Science Monitor pll Jl",2
!• Sprlngf'd Republican pSB O,2
-( Atlantic Bookshelf,2
Current Hist 43:xil O,2
Forum 93:vill Mr,2
"happens in such cases, sentimentality creeps in."" f Books plO Je",2
N Y Tim«» pfi F,2
_j world Tomorrow,2
Bookm 72:xxiii S,2
-«- Library J,2
New Statesman 36:sup xxll D,2
and one in,2
Eookin,2
son Bulletin,2
N Y .Evening Post pllm Mr,2
-i- Cath World,2
Christian Science Monitor pig D,2
"will be followed by an age of grace."" M. P. E. Living Church",2
{- N Y Times,2
Current Hist 41:vil Mr,2
"superficial reporting."" B. R. Redman Sat R of Lit",2
the best qualities of fantasy and fairy-tale,2
'+ Chem & Met Eng,2
-J Nation,2
Manchester-Guardian,2
-.- Chicago Daily Tribune pll Ag,2
N Y Time* pC Je,2
Bookm 72:xxiv O,2
Bookm 71:xxix Ap,2
-t San Francisco Chronicle,2
biographical sketch see Sat R of Lit,2
Springf'd Republican plOB N SO,2
•+- New Statesman & Nation,2
"aUB +""sat R of Lit",2
Christian Science Monitor pi! Jl,2
Nature 134:sup890 D,2
Bookm 71:zzzl Mr,2
Times [London] Lit Sup u,2
"""Bt+ Jf'sft R of Lit",2
Ij New Repub,2
rev cd,2
"forthright and courageous, but in none,",2
h- Yale R n s,2
E' Forum 94:vil O,2
period in Paris between,2
Current Hist 43:xiii D,2
Spec 163:sup38 N,2
"marquis, Alexandre Dumas.",2
[London] Llt Sup,2
-!- Christian Science Monitor,2
NY Evening Post plOm F,2
Yale R n s 20:vill summer,2
: Chicago Sun N,2
Boston Transcript pg My,2
Atlantic's Bookshelf I),2
NY Times pll Mr,2
-I Greensboro (N.C.) Dally News plO N,2
The Times I London,2
Sprlnef'd Republican,2
t- Springf'd Republican,2
"Springf'd Republican p""a Ja",2
_l Boston Transcript,2
"N Y ""Tribune",2
NY Times pll N,2
"I Springf'd Republic? p""a O",2
Books pll Ja E,2
Nation 116:4(19 Ap,2
"studio-conceptions of Poe."" T: Craven h Dial",2
"imposed upon them."" Eva Goldheck h Lit R",2
Survey 50:sup200 My,2
"account of social reformation."" Harold Strauss r- N Y Times",2
"pretation of those facts."" H. S. Commager Books",2
".J""""1"" [London] Lit Sup",2
Sat R 13ti:2Sl S,2
-) Survey 51:supl90 N,2
D' R-?Boston Transcript,2
Int Bk R p-iB Je,2
"without distinction."" Herschel Brickell h Lit R",2
-i • The Times [London] Lit Sup,2
r- Outlook,2
Sat R N,2
-•• Chicago Dally Tribune,2
Manchester Guardian p xvii D,2
Outlook 134:in2 Je,2
Books pi t S,2
NY Tribune pi!) F,2
Lit R pf.67 My,2
Sprinqfd Republican plO N,2
-i- Dial,2
~-i Lit R,2
f- Boston Transcript po Mr,2
r- Sat R 136:'.'0 Jl,2
N Y Times pIS S,2
N Y Tribune pa S,2
-I . The Times [London] Lit Sup,2
"guess-work."" George Vernadsky f- Books",2
"-, NY Times",2
"'t,T,2C Tjmes [London] Lit Sup",2
Nation 117:sup398 O,2
n_v+ NY Times pg N,2
Chicago Daily Tribune plo N,2
"ness.""",2
"""A moderately entertaining novel."" h Lit R",2
"marks the greater part of the narrative."" h N Y Times",2
"is a Brent deal of it."" Kenneth Fuessle N Y Tribune",2
-) • Sprlngf'd Republican,2
(- Lit R pl!4 O,2
Int Bk R plo Je,2
"'e""+e'_ New Repub",2
-| Springf'd Republican pSa D,2
r- Dial,2
^' Nation,2
New Repub 34:sup6 Ap,2
-) Boston Transcript pfl O C.,2
tion.,2
"NY World p""e Ag",2
"serious situations.""",2
"gnawing sense of failure."" Conrad Aiken r New Repub",2
Nation 117:16!) Ag,2
rick too often plays the preceptor and birch,2
Booklist 19:189'Mr,2
"some Important defects."" H. V. Hodson h Spec",2
Lit R p.r>70 Ap,2
NY Tribune pSO Ja,2
Outlook 133:4r>ri Mr,2
"not easily put out."" William Plomer (- Spec",2
j NY World pSe My,2
Chicago Daily Tribune pi,2
"-I Dial 71:.""20 My",2
'-f SpringPd Republican,2
Lit R plf>2 O,2
"old, old matter?"" H. W. Boynton f Lit R",2
Int Bk R pGG O,2
Boston Transcript pi Ac,2
Wrs Lib Bui,2
"""A story of Illinois in the",2
At the age of,2
Springfd Republican pSa Mr,2
-r N Y Wor.d ptie F,2
N Y World pGe N,2
(• N Y World pSe My,2
NY Times pS N IS,2
i- The Times [London] Lit Sup,2
K -f'_'New Statesman,2
"GEORGIAN stories,",2
• h Ind,2
Bookm 57:.'!32 My,2
WIs Lib Bui ir>:1i;n Je,2
-) Times [London] Lit Sup pll3 F,2
"Russia, and other European countries."" E.",2
"tales, the good artist comes often to the fore."" j- Freeman",2
Ind 110:1)78 Je S,2
N Y World pGe Ag,2
"hope for Mr. Fredenburgh's future."" E. H. W. r- N Y Times",2
V N Y Times,2
"the unhurried pace never drags or falters."" h Sat R",2
-I Lit R p6.r>9 My,2
+' Manchester Guardian,2
"Harold Bell Wright and Elinor Glyn."" N Y Times",2
-i Int Bk R,2
"parting, you do not shiver, you do not thrill."" N Y Tribune",2
h Nation 118:3'J Ja,2
Cleveland ill Je,2
Forum 95:vlll Ap,2
N Y World plie S,2
The Times (.London] Lit Sup,2
)- Lit R,2
-I . Lit R,2
N Y World plD Je,2
Books pll Ag SO,2
"""Trite and tedious novel."" h N Y Times",2
Sprlngf'd Republican pll My,2
-\ Springfd Republican,2
-r Detroit News,2
-j- R of Rs,2
house on Charles street.,2
"tUre""+IBoston""TranscriPt pll Mr",2
-r Outlook,2
Ttie Times [London] Lit Sup,2
NY World plOe O,2
becomes secretly* engaged at the age of,2
"Nation 116:06""! Je",2
",jiot in the telling.""",2
Spiingf'd Republican p'a Mr IS,2
Sprlngf'd Republican pSa D,2
Eng Hist R,2
matiC'+ wis Lib Bui,2
Nation 109:56!) N,2
L N Y Times,2
Boston Transcript pll AR,2
"quite understand."" E. II. F. h Ath",2
Review'1:602 N,2
•i ALA Bkl,2
Sprlngf'd Republican pll Apl3,2
A L A Bkl 16:!>1 D,2
'-I N Y Evening Post,2
•i Nation,2
''— New Repub 3G:1SS O,2
N .Y Best Bks,2
Boston Transcript plO May,2
-t- Quar List New Tech Bks O,2
-h Cleveland,2
-i WIs Lib Bui,2
Christian Science Monitor pll S SO,2
. H J Pol Econ,2
-| Review,2
Ind nO:.')79 Je,2
-I -Sat R,2
'' r N Y Times,2
Int Bk R pfil My,2
Christian Science Monitor pU D,2
•+• Sprlngf'd Republican,2
^ New Statesman & Nation,2
N Y World pis Je,2
h Outlook i:t:!:320 F M,2
Greensboro (N.C.) Dally Newc,2
"settlement work,",2
Boston Transcript p!) N,2
"reaU'+""Llt R",2
:- Sprlngf'd Republican,2
Survey 50:Btlp200 My,2
",_ The Times [London] Lit Sup",2
Greensboro (N.C.) Dally News plO O,2
■+- Boston Transcript,2
-f- Int Bk R pi! O,2
"that is not charming in its characters."" J. F. h Bookm",2
Lit R pGOO Ap,2
a-|-S_ N Y Times,2
"""Mr. Hughes has marto New York from",2
to perhaps,2
'r!1™ N Y Tribune,2
j NY World,2
"literary pleasure, the book Is a failure."" Cath World",2
Detroit New*,2
-r Int Bk R,2
"is loose and, at times, unpardonably Irrelevant.""",2
"of neatly humorous characterization."" h Lit R",2
r- Nation 117:7-15 D,2
Boston Transcript pS X,2
Times | London J Lit Sup,2
N Y Tribune plS O,2
Outlook i:io:4f.O N,2
Springfd Republican pTa Ja,2
-\ Atlantic's Bookshelf .Tl,2
h Chicago Daily Tribune pH Je,2
Lit R pr.63 Mr,2
"N Y World p""e My",2
Boston Transcript pC Ja,2
N Y. Times,2
Yale R n s 26:viil winter,2
Christian Science Monitor pH O,2
-f. Ind,2
"novel technique."" J.",2
Manchester Guardian pT O,2
Sjpringf'd Republican,2
h Christian Science Monitor plO S,2
"plicity achieved by her imitator."" h Lit R",2
Wis Lib Bui 1!):413 Jl,2
Int Bk R pllO Ja,2
The times [London] Lit Sup,2
Springf'd Republican pTe F,2
N Y Tribune pit S,2
Irid,2
Lit R plGO O,2
Bookm 69:xxii Je,2
A L A BkI14z200 Mr,2
Chicago Sun pS Ag,2
Boston TransCrlpt,2
Chicago Sunday Tribune pi N,2
Chicago Sunday Tribune plO Mr,2
A L A Bki15:33 O,2
j NY Herald Tribune Bk R,2
NY Herald Tribune Bk R plO Jl,2
NY Evening Post plOm D,2
—— A L A Bkl14:338,2
Book* plO My,2
New Statesman & .Nation,2
Dutton,2
Books (N Y Herald Tribune) pll F,2
Springfield Republican pla Jl,2
Books (N Y Herald Tribune) pS Jl,2
r- No Am,2
-| Book* (N Y Herald Tribune),2
'- The Times [London] Lit Sup,2
R,2
'N Y Times,2
NY Time* plO Ja,2
Chicago Sunday Tribune plO O,2
N Y Times 23:21:) My,2
Sprlan’d Republlcan,2
-J NY Herald Tribune Bk R,2
N Y Timet pi S,2
NY Herald Tribune Bk R pll Ag,2
r Chicago Sunday Tribune,2
N Y Times pl Ja,2
A L A Bki15:67 N,2
Fl of Rs,2
-I Chicago Sunday Tribune,2
-( Chicago Sunday Tribune,2
N Y Times pg Ja,2
h N Y World pllm Mr,2
N Y Herald Tribune Bk R pll Ap,2
Sprlnnf'd Republican,2
T The Tlmea [London] th Sup,2
+-—Cath World,2
Yale R n s 22:xxli winter,2
h N Y Times pig Ja,2
Springf’d Repub lcan,2
+Cath World,2
•H Times [London] Lit Sup,2
",N Y Evening Post",2
Boston Transorlpt,2
A L A Bkl15z31,2
)- N Y Times,2
Boston Transcript pB D,2
between,2
Daily News Rec,2
"In L"": Bul",2
Sat R 122:suplO D,2
Weekly Book Review pS Je,2
Book Week plS O,2
Weekly Book Review pS Mr,2
Hibbert J,2
-j Springfield Republican,2
Klrkuc,2
atlon,2
Springfield Republican pla My,2
Time* [London] Lit Sup plOl F,2
The Times London Lit Sup,2
-I Atlantic O,2
Bookm 75:xiv Je,2
Books (N Y Herald Tribune) pB Ag,2
A L A Bki15:31 O,2
Bookm 69:xxiv Ap,2
'+'— New Repub,2
'+ Spec,2
•f New Repub,2
Springf’d Republican pii. Ja,2
: Spec,2
~— N Y Times,2
-! Weekly Book Review,2
+——New Repub 17:10!) N,2
W!s Lib Bui,2
Nation 114:sup436 Ap,2
j- N Y World,2
Greensboro (N.C.) Daily News pS S,2
New Reputa,2
Atlantic's Bookshelf Jl,2
_ N Y Time*,2
r Lit R,2
WII Lib Bul,2
Boston Trantcript,2
Boston Transcript mi N,2
-| wis Lib Bull,2
-i A L A Bkl,2
(- Ind,2
A L A Bk|142338 Jl'18,2
The Times [London] Hi Sup,2
TsTstBe Times [London] Lit Sup,2
q N Y Times,2
Bookllct,2
Weekly Book Review pig Ap,2
Weekly Book Review pg Mr,2
Cleveland Open Shelf pl!7 N,2
Sprlngf'd Republlcan,2
-{- Boston Transcript,2
revolution of,2
N Y Herald Tribune Bk R plO Mr,2
'+ Nature,2
"art, has public importance."" L. C. M. Freeman",2
-i Cath World,2
r- America,2
. h N Y Tribune,2
_| NY World pile O,2
"Boston Transcript pS N""",2
"solve their tangled relationship."" Boston Tran-",2
_l -. N Y Times plO S,2
-i Sat R 13(5:499 N,2
Nation and Ath 34:sup403 D,2
The Times [Londonl Lit Sup,2
(_' |nt Bk R,2
Chicago Dally Tribune pll Jl,2
Girl alone. ii,2
New Rrpub,2
•|- Boston Transcript,2
Times [London] Lit Sup pSSO N,2
-r Sprlngf'd Republican,2
—-— N Y Times,2
Bookm 69:xxvi Je,2
-I • Books,2
Bookm 70:xxxii O,2
"N Y""Tribune",2
N Y'World pile O,2
f- America,2
Cleveland Open Shelf pig O,2
"penetrates the surface of events."" T. P., Jr. Sat R of Lit",2
N Y Times pla F,2
•to^ jf^^aftf. My,2
• f- N Y Times,2
h Lit R plC8 O,2
Boston Transcript p« D,2
_ New Statesman,2
-N Y Times,2
"-f- Springf'd Republican p""a O",2
NY Times p!) My,2
'+ Boston Transcript pi Ap,2
Boston Transcript pC D,2
_j NY Tribune,2
'-f- N Y Times,2
Current Hist 43:xli F,2
N Y 'Tribune,2
New Statesman 20:supxlv D,2
R of Rs 68:56f> N,2
Int Bk R pCl S,2
NY Tribune plS Je,2
N Y World pge Je,2
Books pH S,2
•i Springf'd Republican,2
Boston Transcript pl;,2
r New Yorker,2
.Nation and Ath,2
•H Boston Transcript,2
Bookm 69:xxvl Mr,2
Bookm 70:xiv Ja,2
h Boston Transcript pi Ap,2
-f- No Am 227:adv Ap,2
-| Yale R n s,2
BOltOn Transcript,2
ton Transcript pi Ag,2
Yale R n s 19:viii winter,2
Bookm 70:xxxiil O,2
A L A Bkl15z3z,2
j- Sat R of Lit,2
Bookm 70:xxxli O,2
-j NY Herald Tribune Bk R,2
N Y Herald Tribune Bk R pS Ag,2
oston Transcript,2
Sat Ft 125:34’! Ap,2
Snrlngf'd Republican,2
-!- San Francisco Chronicle,2
Sprlngf'd Republican pSC Mr,2
Bookm 70:xxxl O,2
Bookm 70:xxx O,2
Books pg My,2
Bookm 70:xxxil O,2
•f N Y Evening Post,2
-I Am J Soc,2
Tlme» [London] Lit Sup,2
Books pG O,2
N Y Tlm««,2
Forum 88:vii S,2
•i- Times [London] Lit Sup,2
"h ,N Y Times",2
h Forum,2
Bookm 69:xxiv Jl,2
—— A L A Bkl,2
Bookm 69:xxiil My,2
f- Sat R,2
Book* plO O,2
Bookm 70:xxx N,2
[ J p p,2
Portland Evening News plO O,2
r- Books (N Y Herald Tribune),2
A L A Bk|152107 D,2
Times [London] Lit Sup pi Ja,2
•J Sat R of Lit,2
", Time* [London] Lit Sup",2
i New Statesman and Nation,2
Macaulay,2
Springf'd Republican plfia Ja,2
Dial 67:44!) N,2
-| Wis Lib Bui,2
-I NY Call plO N,2
N Y Times plo S,2
I- Ind,2
Nation 117:7i7 D,2
"Springfd Republican p""a O",2
"nous in its unrelieved drabness."" !•"". G. j- Freeman",2
(-' The Times [London] Lit Sup,2
N Y Times pl» My,2
-) Books pS My,2
N Y World pSo Mr,2
Boston Transcript pn Je,2
Yale R n s 2o:vi summer,2
Int Bk R p-IO Ag,2
NY World pi He Jc,2
New Statesman 20:supxii D,2
T NY Times,2
"design and uncertainty of emotional empha.""",2
"they seem ftof^ D ^ ,a",2
+• int Bk R,2
Boston Transcript p( Ag,2
"not stand with the author's best work."" f- N Y Times",2
"Springf'd Republican p""a Ag",2
Sat R 13-1:726 N,2
. __ L New Statesman,2
associated with respectability and Mr. lila.,2
"no special significance in itself."" E. R. h New Repub",2
laCe N Y Times,2
Yale R n s 25:xil spring,2
N Y World pGe My,2
N Y World pSe S a,2
H- No Am,2
Springf'd Republican pC O,2
\- New Repub 36:supl2 S,2
"little for 'The Doom Dealer!"" W. E. H. h Boston Transcript pi Jl",2
f Sprlngf d Republican,2
N Y Tribune plS Ap,2
N Y Herald My,2
Survey 51:supl90 N,2
—. Boston Transcript pi S,2
Springf'd Republican pTa S,2
C°(4- N Y Tribune plS Ap,2
The Times [London! Lit Sup pSS5 D,2
"T,,Tl3?nTirnes [London] Lit Sup",2
The Times [London} Lit Sup,2
Spec 129:sup661 N,2
.j NY World pGe Mr,2
Seltzer,2
"STOKER, BRAM. Jewel of seven stars.",2
Reviewed by,2
-I NY World pSe My,2
Spec 131:91)8 D,2
N Y World plOe Jl,2
Springf'd Republican pg Ag,2
Sprlngf'd Republicatlon,2
N Y Tribune plS Mr,2
\- Lit R,2
Irit Bk R plG Ag,2
an introd. by John Burroughs.,2
Times [London] Lit Sup plOlS D,2
N Y World pSe My R,2
i Wis Lib Bui,2
'— Lit R,2
N'Y Times,2
"are some good bits of description."" h N Y Times",2
scenery and its ethics.,2
"IQ^OT rl!me§ [""-""""don] Lit Sup",2
Nation 117:GG8 D,2
Springf'd Republican p?a Ja,2
The Times [LondonJ Lit Sup p^GG Ap,2
Lit R pfiS9 Jl,2
"of the Great Open West."" K. W. Clark N Y Tribune",2
The Times [London] Lit Sup pf.OC S,2
Boston Transcript pi Ap IS,2
The Times [London]' Lit Sup,2
S.it R,2
knowledge of conditions of the world.,2
"is interesting, if not absolutely convincing."" h Spec",2
Greensboro (N.C.) Daily News pS O,2
|- N Y Tribune,2
'+'— Christian Science Monitor plO D,2
£ Lit R,2
Lit R pSnl Jl,2
Spec 129:sup664 N,2
an introd. by William Rothensteln.,2
N Y Times plC Mr,2
"Domn Da""Shter of Adam.",2
Cleveland pal Jl,2
by Haskins and Sells; pt.,2
"muffled his theme."" Ferner Nuhn h Books",2
"her astonishing temperament, and produced",2
Boston Transcript pf> My,2
"thoroughly integrated. It falls apart too easily."" N Y Times",2
Lit R plC6 O,2
-I Lit R pGlO Ap,2
-Sat R,2
Boston Transcript nC< D,2
E M,2
"the vindication of right, and hopes the",2
^ H Boston Transcript,2
The Times I London I Lit Sup,2
The T!me« [London] Lit Sup,2
N Y 'World pGe Mr,2
N Y Times',2
h Lit R pl!3 O,2
h Lit R pi,2
S'+ Boston Transcript,2
N Y Times pig Jl,2
NY Times plG O,2
"Sprlngf'd Republican p""a Ja",2
NY Times plU S,2
Books pi D t,2
NY World pSe My,2
Sprlngf'd Republican pTe S,2
"old Quaker lady."" U. D. Townsend Outlook",2
Survey 50_:3G9 Je,2
Boston Transcript pG F,2
"out bla?'spr,ngf,d Repub,ican",2
Spi-mgf'd Republican,2
New Statesman i. Nation,2
N Y TlnK»,2
•i Chicago Dally Tribune,2
Canadian Forum 16:3!) N,2
Boston Transcript po Ag,2
-r Lit R,2
N Y Tribune plS F IS,2
Gje«n«l>oro (N.C.) Daily News plO S,2
-| Christian Science Monitor pll D,2
•+- Commonweal,2
GREY Towers; a campus novel.,2
r- N Y Times plO F,2
"heavy labor of getting through to them."" h Springf'd Republican",2
Springfd Republican p.'ia S,2
Praitt,2
-f- Atlantic Ap,2
L The Times [London] Lit Sup,2
Spec 155:sup40 N,2
f int Bk R,2
"guise of entertainment."" J. S. Southron h N Y Times",2
-i NY World,2
New Repub 3(i:2SS N,2
-J Canadian Forum,2
Nation 117:sup406 O,2
Springf'd Republican p~a My,2
N Y Tribune pL'2 Ag,2
Forum 89:vii Ap,2
Booklist 2n:.'j.ri N,2
•f Nation and Ath,2
t- Boston Transcript,2
dimensional world,2
Yale R n ■,2
Lit R plS3 O,2
h R of Rs,2
"thumping absence of articles."" M. E. Walker h N Y Times",2
