volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"pirandello, luigi","pirandello, luigi.",97,shoot! (si gira); the notebook,"shoot! (si gira); the notebooks of serafino gubbio, cinematograph operator. authorised translation from the italian by c. k. scott moncrieff.",shoot! (si gira) the notebooks,"shoot! (si gira) the notebooks of seraflno gubbio, cinematograph operator; auth.",103,97,1926.0,1927,inu.39000001006712,1104
"cournos, john","cournos, john.",96,o'flaherty the ,o'flaherty the great; a tragi-comedy by john cournos.,o'flaherty the great; a tragl-,o'flaherty the great; a tragl-comedy.,103,97,1927.0,1927,mdp.39015059447592,440
"hull, helen r. (helen rose)","hull, helen rose.",73,uncommon people short stor,uncommon people short stories by helen hull.,uncommon people; short stories,uncommon people; short stories.,103,97,1936.0,1936,mdp.39015059413362,2567
"perutz, leo",perutz. leo.,87,master of the day o,master of the day of judgment leo perutz ; translated from the german by eric mosbacher.,master of the day of judgmentt,master of the day of judgmenttr from the german by hedwig singer.,103,97,1957.0,1930,iau.31858026760581,2038
"ferber, edna","ferber, edna.",96,one basket; thirty-one short s,one basket; thirty-one short stories.,one basket: thirty-one short s,one basket: thirty-one short stories.,103,97,1947.0,1947,uc1.b4445429,3566
"becker, may lamberton","becker, mrs may (lamberton), comp.",76,golden tales of new england se,golden tales of new england selected with an introduction by may lamberton becker ; decorations by lois lenski.,golden tales of new england; s,golden tales of new england; sel.,103,97,1931.0,1931,uc1.$b116189,4748
"russell, charlotte murray","russell, charlotte murray.",98,murder at the old st,murder at the old stone house [by] charlotte murray russell.,murder at the old stone house.,murder at the old stone house.,103,97,1935.0,1935,mdp.39015050961229,3932
"brown, joe david","brown, joe david.",97,stars in my crown. decorations,"stars in my crown. decorations by gould k. hulse, jr.",stars in my crown; decorations,stars in my crown; decorations by gould k.,103,97,1947.0,1947,uc1.b3346113,1903
"white, edward lucas","white, edward lucas.",97,el supremo; a rom,"el supremo; a romance of the great dictator of paraguay, by edward lucas white.",el supremo: a romance of the g,el supremo: a romance of the great dictator of .paraguay.,103,97,1934.0,1916,mdp.39015015403994,2218
"weld, john","weld, john.",95,"pardners, a novel of the calif","the pardners, a novel of the california gold rush, by john weld.",pardners; a novel of the calif,the pardners; a novel of the california gold rush.,103,97,1941.0,1941,uc1.$b63892,4437
"roberts, kenneth lewis","roberts, kenneth lewis.",98,captain cauti,captain caution a chronicle of arundel [by] kenneth roberts.,captain caution; a chronicle o,captain caution; a chronicle of arundel.,103,97,1934.0,1934,pst.000029697519,1908
"gale, elizabeth","gale, elizabeth.",97,katrina von ,"katrina von ost and the silver rose, by elizabeth gale; illustrated by marguerite de angeli.",katrina van ost and the silver,katrina van ost and the silver rose.,103,97,1934.0,1934,uc1.b4098265,5689
"cavanagh, dermot","cavanaqh, dermot, pseud.",75,tammany boy a romance and a po,tammany boy a romance and a political career by dermot cavanagh.,tammany boy; a romance and a p,tammany boy; a romance and a political career.,103,97,1928.0,1928,uc1.$b299790,3232
"fast, howard","fast, howard melvin.",75,"american, a middle ","the american, a middle western legend, by howard fast.",american; a middle western leg,the american; a middle western legend.,103,97,1946.0,1946,uc1.b3687383,680
"wiener, willard","wiener, willard.",97,morning in america. ,morning in america. decorated by william sharp.,morning in america: decorated ,morning in america: decorated by william sharp.,103,97,1942.0,1942,uc1.$b63962,1186
"weld, john","weld, john.",95,"sabbath has no end, a novel of","sabbath has no end, a novel of negro slavery, by john weld.",sabbath has no end; a novel of,sabbath has no end; a novel of negro slavery.,103,97,1942.0,1942,uc1.$b802950,186
"fleming, peter","fleming, peter.",97,flying visit. d,the flying visit. drawings by david low.,flying visit; drawings by davi,the flying visit; drawings by david low.,103,97,1940.0,1940,mdp.39015003676353,121
"glasgow, ellen anderson gholson","glasgow, ellen anderson gholson.",98,they stooped to f,"they stooped to folly, a comedy of morals.",they stooped to folly; a comed,they stooped to folly; a comedy of morals.,103,97,1929.0,1929,mdp.39015000653066,526
"bailey, h. c. (henry christopher)","bailey, henry christopher.",85,meet mr. fortune a reggie fort,meet mr. fortune a reggie fortune omnibus h. c. bailey.,meet mr fortune; a reggie fort,meet mr fortune; a reggie fortune omnibus.,103,97,1942.0,1942,inu.39000003452914,1603
"west, don","west, don.",95,broadside to the sun drawings ,broadside to the sun drawings by harold west.,broadside to the sun; drawings,broadside to the sun; drawings by harold west.,103,97,1946.0,1946,mdp.39015030119849,1953
"fox, genevieve may","fox, genev1eve may.",92,"susan of the green mountains, ","susan of the green mountains, by genevieve fox; with illustrations by forrest w. orr.",susan of the green mountains; ,susan of the green mountains; with il.,103,97,1937.0,1937,mdp.39015063549326,201
"grey, zane","grey, zane.",95,tappan's burro ,tappan's burro and other stories by zane grey ... ; with illustrations in color by charles s. chapman and frank street.,"tappan's burro, and other stor","tappan's burro, and other stories.",103,97,1923.0,1923,uc1.b4512695,2457
"cannon, blanche","cannon, blanche.",97,nothing every happens sunday m,nothing every happens sunday morning. [by] blanche cannon.,nothing ever happens sunday mo,nothing ever happens sunday morning.,103,97,1948.0,1948,uc1.$b87112,2754
"crone, anne","crone, anne.",96,bridie steen; with an introd. ,bridie steen; with an introd. by lord dunsany.,bridie steen; with an introd b,bridie steen; with an introd by lord dunsany.,103,97,1948.0,1948,uc1.$b56442,5525
"hutchinson, vere","hutchinson, vere.",97,"other gate,","the other gate, and other stories [by] vere hutchinson.","other gate, and other stories.","other gate, and other stories.",103,97,1928.0,1928,mdp.39015059405186,289
"hume, cyril","hume, cyril.",96,"street of the malcontents,an","street of the malcontents,and other stories, by cyril hume.","street of the malcontents, and","street of the malcontents, and other stories.",103,97,1927.0,1927,uc1.$b799757,2536
"erskine, john","erskine, john.",96,"penelope's man, the homing ins","penelope's man, the homing instinct. end papers by d. putnam brinley.",penelope's man; the homing ins,penelope's man; the homing instinct; end papers by d.,103,97,1928.0,1929,uc1.b3687466,1954
"wagenknecht, edward","wagenknecht, edward charles, ed.",75,"murder by gaslight, victorian ","murder by gaslight, victorian tales.",murder by gaslight; victorian ,murder by gaslight; victorian tales.,103,97,1949.0,1949,uc1.b4194244,1813
"herron, vennette","herron, vennette.",97,peacocks and othe,"peacocks and other stories of java, by vennette herron.","peacocks, and other stories of","peacocks, and other stories of java.",103,97,1927.0,1928,mdp.39015030750940,3138
"gelzer, jay","gelzer, mrs jay.",81,street of a,the street of a thousand delights by jay gelzer.,street of a thousand delights.,street of a thousand delights.,103,97,1921.0,1921,nyp.33433076068760,841
"huxley, aldous","huxley, aldous leonard.",76,two or three ,"two or three graces, and other stories by aldous huxley.",two or three graces; and other,two or three graces; and other stories.,103,97,1926.0,1926,mdp.39015031326195,2686
"cain, james m. (james mallahan)","cain, james mallahan.",77,postm,the postman always rings twice.,postman always rings twice.,the postman always rings twice.,103,100,1934.0,1934,uc1.32106006269150,3096
"warren, robert penn","warren, robert penn.",97,world enough and time a romant,world enough and time a romantic novel robert penn warren.,world enough and time; a roman,world enough and time; a romantic novel.,103,97,1950.0,1950,mdp.39015014198017,3968
"hendryx, james b. (james beardsley)","hendryx, james beardsley.",80,oak and iron of these be the b,oak and iron of these be the breed of the north by james b. hendryx ..,"oak and iron, of these be the ","oak and iron, of these be the breed of the north",103,97,1925.0,1925,osu.32435068877448,4446
"williams, william carlos","williams, william carlos.",98,make light of it co,make light of it collected stories.,make light of it; collected st,make light of it; collected stories.,103,97,1950.0,1950,mdp.39015046831965,131
"frankau, gilbert","frankau, gilbert.",97,three englishme,"three englishmen, a romance of married lives, by gilbert frakau.",three englishmen; a romance of,three englishmen; a romance of married lives.,103,97,1935.0,1935,uc1.$b87321,4695
"fox, fannie ferber","fox, mrs fannie (ferber).",84,chocolate or vanilla and other,chocolate or vanilla and other stories fannie ferber fox.,"chocolate or vanilla, and othe","chocolate or vanilla, and other stories.",103,97,1935.0,1935,uc1.$b300285,988
"meacham, allen","meacham, allen.",97,belle jones a story of fulfilm,belle jones a story of fulfilment by allen meacham.,belle jones; a story of fulfil,belle jones; a story of fulfillment.,103,97,1916.0,1916,nyp.33433076036791,598
"williams, charles","williams, charles.",97,all hallow,all hallows' eve; introd. by t.s. eliot.,"all hallows' eve; introd, by t","all hallows' eve; introd, by t.",103,97,1945.0,1948,uc1.32106002021571,714
"fortescue, winifred (beech)","fortescue, winifred (beech) lady.",90,"sunset house, more perfume fro","sunset house, more perfume from provence, by the hon. lady fortescue.",sunset house; more perfume fro,sunset house; more perfume from provence.,103,97,1937.0,1938,uc1.b3251322,4747
"wallach, ira jan","wallach, ira jan.",97,"horn and the roses, a novel ba","the horn and the roses, a novel based on the life of peter-paul rubens.",horn and the roses: a novel ba,the horn and the roses: a novel based on the life of peterpaul rubens.,103,97,1947.0,1947,uc1.$b63874,490
"hellström, gustaf","hellstrom, gustaf.",91,"lacemaker lekholm has an idea,","lacemaker lekholm has an idea, by gustaf hellström; translated by f. h. lyon.",lacemaker lekholm has an idea;,lacemaker lekholm has an idea; tr.,103,97,1931.0,1931,uc1.$b473035,1499
"ellsworth, franklin f. (franklin fowler)","ellsworth, franklin fowler.",78,band-wagon a political novel o,the band-wagon a political novel of middle-america by franklin f. ellsworth.,bandwagon; a political novel o,bandwagon; a political novel of middle-america.,103,97,1921.0,1921,nyp.33433074854799,1908
"mcconn, max","mcconn, max.",96,mollie's substitute husband,mollie's substitute husband,mollie's substitute husband,mollie's substitute husband.,103,100,1920.0,1920,uc2.ark+=13960=t2f767n5w,586
"barke, james","barke, james.",96,"song in the green thorn tree, ","the song in the green thorn tree, a novel of the life and loves of robert burns.",song in the green thorn tree; ,song in the green thorn tree; a novel of the life and loves of robert burns.,103,97,1947.0,1948,uc1.$b322938,2549
"hanley, james","hanley, james.",96,men in,"men in darkness; five stories, by james hanley; with a preface by john cowper powys.",men in darkness; five stories:,men in darkness; five stories: with a pref.,103,97,1931.0,1932,mdp.39015005637635,3381
"becker, may lamberton","becker, mrs may (lamberton), ed.",79,"growing up with america, an an","growing up with america, an anthology [by] may lamberton becker.",growing up with america; an an,growing up with america; an anthology.,103,97,1941.0,1941,uc1.$b117297,4147
"glanville, ernest","glanville, ernest.",97,hunter a story of bushman life,the hunter a story of bushman life by ernest glanville ; with illus. by j. abbey.,hunter; a story of bushman lif,the hunter; a story of bushman life.,103,97,1925.0,1926,uc1.b3548118,2167
"faulkner, william","faulkner, william.",97,unvanquished drawi,the unvanquished drawings by edward shenton.,unvanquished: drawings by edwa,the unvanquished: drawings by edward shenton.,103,97,1938.0,1938,mdp.39015011048025,3226
"chamoud, simone","chamoud, simone.",97,"picture tales from the french,","picture tales from the french, by simone chamoud; with thirty-one illustrations in black-and-white by grace gilkison.",picture tales from the french.,picture tales from the french.,103,97,1933.0,1934,mdp.39015014505203,2925
"wedeck, harry ezekiel","wedeck, harry ezekiel.",98,mortal hunger a novel based on,mortal hunger a novel based on the life of lafcadio hearn by harry e. wedeck.,mortal hunger; a novel based o,mortal hunger; a novel based on the life of lafcadio hearn.,103,97,1947.0,1947,wu.89099249674,1364
"bailey, h. c. (henry christopher)","bailey, henry christopher.",85,"nobody's vineyard, a joshua cl","nobody's vineyard, a joshua clunk story, by h. c. bailey.",nobody's vineyard; a joshua cl,nobody's vineyard; a joshua clunk story.,103,97,1942.0,1942,mdp.39015063526035,1608
